TEAM_ID,TEAM_NAME,G,OVERALL,REB_FREQUENCY,OREB,DREB,REB,C_OREB,C_DREB,C_REB,C_REB_PCT,UC_OREB,UC_DREB,UC_REB,UC_REB_PCT
1610612738,Boston Celtics,16,Overall,1.0,168,548,716,83,143,226,0.316,85,405,490,0.684
1610612738,Boston Celtics,3,Overall,1.0,16,85,101,9,13,22,0.218,7,72,79,0.782
1610612739,Cleveland Cavaliers,5,Overall,1.0,50,183,233,34,50,84,0.361,16,133,149,0.639
1610612739,Cleveland Cavaliers,7,Overall,1.0,42,190,232,21,36,57,0.246,21,154,175,0.754
1610612740,New Orleans Pelicans,4,Overall,1.0,49,132,181,32,27,59,0.326,17,105,122,0.674
1610612742,Dallas Mavericks,13,Overall,1.0,149,426,575,82,117,199,0.346,67,309,376,0.654
1610612742,Dallas Mavericks,9,Overall,1.0,89,282,371,46,60,106,0.286,43,222,265,0.714
1610612743,Denver Nuggets,7,Overall,1.0,68,230,298,41,45,86,0.289,27,185,212,0.711
1610612743,Denver Nuggets,5,Overall,1.0,51,159,210,37,34,71,0.338,14,125,139,0.662
1610612746,LA Clippers,2,Overall,1.0,15,59,74,8,16,24,0.324,7,43,50,0.676
1610612746,LA Clippers,4,Overall,1.0,52,126,178,27,30,57,0.32,25,96,121,0.68
1610612747,Los Angeles Lakers,1,Overall,1.0,8,38,46,3,5,8,0.174,5,33,38,0.826
1610612747,Los Angeles Lakers,4,Overall,1.0,29,128,157,17,35,52,0.331,12,93,105,0.669
1610612748,Miami Heat,1,Overall,1.0,4,35,39,3,5,8,0.205,1,30,31,0.795
1610612748,Miami Heat,4,Overall,1.0,24,117,141,7,30,37,0.262,17,87,104,0.738
1610612749,Milwaukee Bucks,2,Overall,1.0,16,75,91,6,12,18,0.198,10,63,73,0.802
1610612749,Milwaukee Bucks,4,Overall,1.0,41,124,165,12,24,36,0.218,29,100,129,0.782
1610612750,Minnesota Timberwolves,9,Overall,1.0,100,315,415,48,63,111,0.267,52,252,304,0.733
1610612750,Minnesota Timberwolves,7,Overall,1.0,70,190,260,40,42,82,0.315,30,148,178,0.685
1610612752,New York Knicks,7,Overall,1.0,109,226,335,65,43,108,0.322,44,183,227,0.678
1610612752,New York Knicks,6,Overall,1.0,64,154,218,41,30,71,0.326,23,124,147,0.674
1610612753,Orlando Magic,3,Overall,1.0,37,103,140,20,17,37,0.264,17,86,103,0.736
1610612753,Orlando Magic,4,Overall,1.0,47,124,171,27,23,50,0.292,20,101,121,0.708
1610612754,Indiana Pacers,8,Overall,1.0,81,269,350,47,54,101,0.289,34,215,249,0.711
1610612754,Indiana Pacers,9,Overall,1.0,93,254,347,59,60,119,0.343,34,194,228,0.657
1610612755,Philadelphia 76ers,2,Overall,1.0,20,62,82,17,17,34,0.415,3,45,48,0.585
1610612755,Philadelphia 76ers,4,Overall,1.0,44,121,165,30,31,61,0.37,14,90,104,0.63
1610612756,Phoenix Suns,4,Overall,1.0,29,101,130,13,31,44,0.338,16,70,86,0.662
1610612760,Oklahoma City Thunder,6,Overall,1.0,58,210,268,27,56,83,0.31,31,154,185,0.69
1610612760,Oklahoma City Thunder,4,Overall,1.0,29,116,145,16,32,48,0.331,13,84,97,0.669